# SNODAS data for basin GMRC2L_F, created on 2020-02-23,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,
# - The current water year is used for date for all data.,,,,,,,,,,,,,,,,,
# - Historical data years are shifted to current year.,,,,,,,,,,,,,,,,,
# - Leap year Feb 29 results in missing values (if no Feb 29 in historical year),,,,,,,,,,,,,,,,,
#   and discarded Feb 29 (if historical year is leap year but no Feb 29 in current year).,,,,,,,,,,,,,,,,,
# - The water year is shown in [square brackets].,,,,,,,,,,,,,,,,,
# - The units are shown in (parentheses).,,,,,,,,,,,,,,,,,
Date,"GMRC2L_F, SWE-Volume [2004] (acft)","GMRC2L_F, SWE-Volume [2005] (acft)","GMRC2L_F, SWE-Volume [2006] (acft)","GMRC2L_F, SWE-Volume [2007] (acft)","GMRC2L_F, SWE-Volume [2008] (acft)","GMRC2L_F, SWE-Volume [2009] (acft)","GMRC2L_F, SWE-Volume [2010] (acft)","GMRC2L_F, SWE-Volume [2011] (acft)","GMRC2L_F, SWE-Volume [2012] (acft)","GMRC2L_F, SWE-Volume [2013] (acft)","GMRC2L_F, SWE-Volume [2014] (acft)","GMRC2L_F, SWE-Volume [2015] (acft)","GMRC2L_F, SWE-Volume [2016] (acft)","GMRC2L_F, SWE-Volume [2017] (acft)","GMRC2L_F, SWE-Volume [2018] (acft)","GMRC2L_F, SWE-Volume [2019] (acft)","GMRC2L_F, SWE-Volume [2020] (acft)"
10/1/2019,0,1645,0,,0,0,386,0,0,281,0,3066,0,0,289,0,0
10/2/2019,0,2334,0,490,0,0,1355,0,0,184,0,4940,0,0,6170,0,0
10/3/2019,0,2162,0,158,27,0,699,0,0,87,0,4664,0,0,13309,0,0
10/4/2019,0,2181,0,160,0,0,161,0,0,37,0,3941,0,0,10466,0,0
10/5/2019,0,2146,511,74,0,0,363,0,0,14,3782,2740,0,0,26,0,0
10/6/2019,3,2184,83,10,0,152,727,0,0,79,4440,1969,0,0,0,0,0
10/7/2019,0,2574,0,0,69,165,470,0,188,28,2727,903,75,5008,0,948,0
10/8/2019,0,2422,0,0,35,17,265,0,134,7,981,548,8,2692,0,1522,0
10/9/2019,0,2245,0,10,0,0,497,0,7870,1,123,436,0,1314,0,6582,0
10/10/2019,0,1863,5053,67,0,0,269,114,8299,0,37,908,0,197,89,6862,0
10/11/2019,0,1566,8341,1259,0,0,192,55,5738,0,1189,1241,0,16,4,9070,7883
10/12/2019,0,1534,9099,987,0,400,138,20,5589,0,3060,956,0,9,2856,12834,7345
10/13/2019,0,1530,8447,525,0,1184,96,357,4491,307,2519,4233,0,1,0,12195,5997
10/14/2019,0,3754,5565,146,151,1061,115,174,3034,2196,1164,3965,0,0,0,10630,4247
10/15/2019,0,2748,2686,191,7223,532,376,27,1699,1522,3059,2833,0,0,0,16604,2882
10/16/2019,0,2122,837,202,6022,230,412,0,282,557,6152,52,0,0,0,11746,2281
10/17/2019,0,1535,357,189,3844,34,341,0,76,1168,9113,19,0,0,1930,10385,1258
10/18/2019,0,1367,224,4405,6971,5,114,0,919,858,8598,13,0,0,838,9243,351
10/19/2019,0,1560,161,6599,7191,0,19,51,774,443,9903,10,0,348,415,9974,898
10/20/2019,0,1633,1803,6754,4460,0,6,24,216,139,8861,9,0,1284,198,11529,511
10/21/2019,0,1422,1579,12681,2468,0,14,0,155,47,8805,6,62,252,197,11003,5737
10/22/2019,0,1263,1278,21096,7451,1431,1415,0,111,19,8519,33,108,0,3158,9693,10098
10/23/2019,0,2082,937,21838,7213,2161,1169,517,100,9,7981,160,8330,0,833,10210,9972
10/24/2019,0,1348,814,11939,5766,1740,874,5290,85,5,7190,14,10186,0,4359,7678,13999
10/25/2019,0,1320,625,10288,2529,719,1617,5889,65,5087,6366,2,9397,0,3964,8043,14114
10/26/2019,0,1257,554,10785,1237,118,2336,14193,3967,8831,6154,0,8376,50,2774,9372,17567
10/27/2019,0,1181,506,25754,913,51,2001,17679,20039,9340,5849,129,10848,0,2492,8895,15103
10/28/2019,0,1126,198,24008,673,11,2714,20252,19922,8891,5228,567,11982,0,2284,6653,15208
10/29/2019,0,1578,379,23352,550,3,4458,19314,16132,6406,4597,189,11168,0,2261,4832,19333
10/30/2019,,2273,495,20935,404,0,6723,15128,15564,5135,6855,4,10985,0,1797,6762,25194
10/31/2019,0,2070,1868,17831,324,0,8536,10516,15019,4176,11489,0,15202,0,8265,11328,25362
11/1/2019,0,3950,1512,16767,2271,0,8032,10322,13723,3457,11681,0,13618,5,8818,12742,24538
11/2/2019,33,5262,514,16421,2047,0,6374,11296,13021,2799,12393,0,11101,3,6303,13665,25577
11/3/2019,35,5024,292,15901,1951,0,5594,9814,15668,2547,10352,287,7744,315,5342,18612,24751
11/4/2019,165,4373,250,15026,1784,0,4249,8160,15160,2326,9703,2324,5740,33,4447,24429,23888
11/5/2019,112,3726,383,15076,1532,0,3239,6850,12563,2105,9485,2069,6812,2,4711,27515,23378
11/6/2019,162,2741,2281,14854,1365,4929,2108,5360,13759,3411,11872,1519,17373,112,6542,31226,22963
11/7/2019,127,2010,764,14567,1169,4779,1353,3876,13819,3119,18797,512,19713,99,8704,31501,24664
11/8/2019,190,1636,305,11829,1008,4597,1024,3468,15431,2697,17659,149,19510,447,10738,31209,24123
11/9/2019,1054,1254,233,7737,882,4573,902,2756,16005,2271,14939,33,19035,377,10398,31022,23038
11/10/2019,473,2354,192,6956,783,4193,2922,15508,15828,2163,14321,1,17395,326,8536,30467,21717
11/11/2019,1335,4398,148,6837,624,9072,2541,16159,15321,8925,13767,3479,15946,222,6047,28866,20119
11/12/2019,1812,4802,586,6196,562,9835,2133,18379,14354,11402,13387,3057,21245,211,5618,31461,19792
11/13/2019,2639,4591,6311,8896,703,11242,1813,19090,17379,11159,13152,5354,23119,191,5199,31484,22851
11/14/2019,2258,4414,11030,9449,475,10306,6548,22319,22806,8707,12820,8386,22703,180,8095,31256,21969
11/15/2019,3170,5534,19260,17076,1923,12124,9535,24773,20547,7753,13000,8667,22303,134,6759,34120,21401
11/16/2019,3142,5136,19966,28843,1689,11781,11821,31434,20747,7276,13208,15774,21281,50,6262,33727,19942
11/17/2019,2867,4676,19734,28234,1522,10842,12140,38553,21016,6490,22202,16044,32688,7,7080,32569,22116
11/18/2019,5438,4483,20925,27648,1635,9532,11825,38862,20532,5879,22739,26914,35202,4808,17304,34128,21621
11/19/2019,5214,4485,20639,27246,1392,7436,11234,31825,19543,5827,21950,26139,35812,6513,17750,33983,21078
11/20/2019,16265,4711,20633,26893,1030,6520,10944,29846,23581,7106,21030,24785,32992,3715,16150,36486,19474
11/21/2019,15204,5471,20353,24826,1205,7280,10448,27448,24019,6641,22279,24491,35185,2327,14245,36258,25813
11/22/2019,14805,5416,24786,21539,5617,6766,9603,30349,25614,5820,29733,24218,34014,11198,20826,35936,28283
11/23/2019,16067,5377,24243,19046,5427,6169,9230,33147,23876,5428,35716,25152,33118,16504,19586,36881,34306
11/24/2019,15951,5729,23760,17111,5271,5850,11451,32813,22664,6491,36014,30812,35584,10677,15127,39847,34035
11/25/2019,15452,5623,23418,16771,5107,5530,11221,37317,21443,5623,42576,35459,34189,13161,11590,51443,33056
11/26/2019,15397,5601,22958,16629,4798,5194,14463,37171,23254,5126,42347,38549,31602,12401,10377,51291,33271
11/27/2019,15816,8526,23928,16613,4585,5614,13869,37170,23235,4943,42058,38820,32186,11565,8039,50876,36800
11/28/2019,15767,12447,26205,22953,3614,6916,12871,36745,22783,4450,34589,36121,32006,15928,11757,49695,35993
11/29/2019,15481,15051,26903,29204,5364,9097,12498,37508,21934,5547,34130,31807,32697,21045,11392,50403,34838
11/30/2019,14935,21718,26959,31739,4775,10456,12422,40770,21634,5077,33661,27697,33814,22305,10142,59066,37754
12/1/2019,14493,21562,29579,31562,4485,14285,12043,40844,20971,4754,33447,26113,36954,22152,14769,61624,40904
12/2/2019,14872,21471,32719,35051,9501,16773,11676,40886,21173,4504,33365,26498,36677,22157,13316,62848,40584
12/3/2019,14520,21281,38255,36451,11947,16875,12440,40057,21806,4071,32926,25502,36061,21035,12219,62718,39506
12/4/2019,14351,21039,45611,36232,11093,17639,12368,38504,23878,6940,36755,24779,35699,20879,11110,63286,39211
12/5/2019,14210,20741,47603,35903,10022,21166,12119,37957,25618,6594,42498,40240,33001,19977,11203,63287,38849
12/6/2019,14025,20743,48805,35281,20170,20854,11672,37759,25670,5634,49585,40492,33626,21956,10936,63416,42877
12/7/2019,13606,20969,52552,35009,29024,20362,13181,38226,25665,6374,49486,40157,32686,22685,10884,63831,43048
12/8/2019,13820,20573,52844,34845,37188,19078,16854,47844,26720,6541,52220,39508,30990,27212,11941,64102,41871
12/9/2019,16333,24333,52571,34662,39791,20181,23678,47387,27090,12736,55589,38992,36176,27343,11472,64038,47127
12/10/2019,16300,28236,52246,34259,41856,20258,24031,46978,26908,15052,55671,38407,34082,35039,10882,63877,49315
